list_number,list_description_en,list_description_uk,code,description_en,description_uk,notes
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tir,Tigrinya,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tiv,Tiv,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tli,Tlingit,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tpi,Tok Pisin,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tkl,Tokelauan,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tod,Toma,,"ONIX local code for Guinean language, equivalent to tod in ISO 639-3. See also Loma for the closely-related Liberian variant. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tog,Tonga (Nyasa),,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,ton,Tongan,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,rmg,Traveler Norwegian,,"ONIX local code for Norwegian Scandoromani variant, equivalent to rmg in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tsd,Tsakonian,,"ONIX local code, equivalent to tsd in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tsi,Tsimshian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tso,Tsonga,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tsn,Tswana,,AKA Setswana
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tum,Tumbuka,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tup,Tupi languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tur,Turkish,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,ota,"Turkish, Ottoman",,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tuk,Turkmen,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tvl,Tuvaluan,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tyv,Tuvinian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,twi,Twi,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,tzo,Tzotzil,,"ONIX local code, equivalent to tzo in ISO 639-3"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,udm,Udmurt,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,uga,Ugaritic,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,uig,Uighur; Uyghur,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,ukr,Ukrainian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,umb,Umbundu,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,hsb,Upper Sorbian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,urj,Uralic languages,,"Collective name. ONIX local code, equivalent of urj in ISO 639-5. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,urd,Urdu,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,uzb,Uzbek,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,vai,Vai,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,qav,Valencian,,"ONIX local code, distinct dialect of Catalan (not distinguished from cat by ISO 639-3)"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,ven,Venda,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,vec,Venetian/Venetan,,"ONIX local code for Italian dialect, equivalent to vec in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,vie,Vietnamese,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,vol,Volapük,,Artificial language
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,vot,Votic,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,wak,Wakashan languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,wls,Wallisian,,"East Uvean. ONIX local code, equivalent to wls in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,wln,Walloon,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,war,Waray,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,was,Washo,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,guc,Wayuu,,"Guajiro. ONIX local code, equivalent of guc in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,wel,Welsh,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,fry,Western Frisian,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,qsw,Widgit symbols,,"ONIX local code for graphical symbols used in augmentative and alternative communication and education, not listed in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,wal,Wolaitta; Wolaytta,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,wol,Wolof,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,cwd,Woods Cree,,"ONIX local code, equivalent to cwd in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,wym,Wymysorys,,"Vilamovian. ONIX local code, equivalent to wym in ISO 639-3. Only for use in ONIX 3.0 or later"
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,xho,Xhosa,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,sah,Yakut,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,yao,Yao,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,yap,Yapese,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,yid,Yiddish,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,yor,Yoruba,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,ypk,Yupik languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,znd,Zande languages,,Collective name
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,zap,Zapotec,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,zza,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,zen,Zenaga,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,zha,Zhuang; Chuang,,Macrolanguage
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,zul,Zulu,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,zun,Zuni,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mis,Uncoded language,,Use where no suitable code is available
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,und,Undetermined language,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,mul,Multiple languages,,
74,Language – based on ISO 639-2/B,Мова – за ISO 639-2/B,zxx,No linguistic content,,
76,DVD region,,0,All regions,,DVD or Blu-Ray
76,DVD region,,1,DVD region 1,,"US, US Territories, Canada"
76,DVD region,,2,DVD region 2,,"Japan, Europe, South Africa and Middle East (including Egypt)"
76,DVD region,,3,DVD region 3,,"Southeast Asia, Hong Kong, Macau, South Korea, and Taiwan"
76,DVD region,,4,DVD region 4,,"Australia, New Zealand, Pacific Islands, Central America, Mexico, South America and the Caribbean"
76,DVD region,,5,DVD region 5,,"Eastern Europe (former Soviet Union), Indian subcontinent, Africa, North Korea and Mongolia"
76,DVD region,,6,DVD region 6,,People’s Republic of China (except Macau and Hong Kong)
76,DVD region,,7,DVD region 7,,Reserved for future use
76,DVD region,,8,DVD region 8,,"International venues: aircraft, cruise ships etc"
76,DVD region,,A,Blu-Ray region A,,"North America, Central America, South America, Japan, Taiwan, North Korea, South Korea, Hong Kong, and Southeast Asia"
76,DVD region,,B,Blu-Ray region B,,"Most of Europe, Greenland, French territories, Middle East, Africa, Australia, and New Zealand, plus all of Oceania"
76,DVD region,,C,Blu-Ray region C,,"India, Bangladesh, Nepal, Mainland China, Pakistan, Russia, Ukraine, Belarus, Central, and South Asia"
77,US and Canada (excluding Québec) school or college grade,,P,Preschool,,Age typically 0-4 years
77,US and Canada (excluding Québec) school or college grade,,K,Kindergarten,,Age typically 5 years
77,US and Canada (excluding Québec) school or college grade,,1,First Grade,,Age typically 6 years
77,US and Canada (excluding Québec) school or college grade,,2,Second Grade,,Age typically 7 years
77,US and Canada (excluding Québec) school or college grade,,3,Third Grade,,Age typically 8 years
77,US and Canada (excluding Québec) school or college grade,,4,Fourth Grade,,Age typically 9 years
77,US and Canada (excluding Québec) school or college grade,,5,Fifth Grade,,Age typically 10 years
77,US and Canada (excluding Québec) school or college grade,,6,Sixth Grade,,Age typically 11 years
77,US and Canada (excluding Québec) school or college grade,,7,Seventh Grade,,Age typically 12 years
77,US and Canada (excluding Québec) school or college grade,,8,Eighth Grade,,Age typically 13 years
77,US and Canada (excluding Québec) school or college grade,,9,Ninth Grade,,High School Freshman – age typically 14 years
77,US and Canada (excluding Québec) school or college grade,,10,Tenth Grade,,High School Sophomore – age typically 15 years
77,US and Canada (excluding Québec) school or college grade,,11,Eleventh Grade,,High School Junior – age typically 16 years
77,US and Canada (excluding Québec) school or college grade,,12,Twelfth Grade,,High School Senior – age typically 17 years
77,US and Canada (excluding Québec) school or college grade,,13,College Freshman,,Age typically 18 years
77,US and Canada (excluding Québec) school or college grade,,14,College Sophomore,,Age typically 19 years
77,US and Canada (excluding Québec) school or college grade,,15,College Junior,,Age typically 20 years
77,US and Canada (excluding Québec) school or college grade,,16,College Senior,,Age typically 21 years
77,US and Canada (excluding Québec) school or college grade,,17,College Graduate Student,,Age typically 22+ years
79,Product form feature type,Тип характеристики форми продукту,01,Color of cover,,For Product Form Feature values see code list 98
79,Product form feature type,Тип характеристики форми продукту,26,Color of spine,,Where it is different from the overall color of the cover (see code 01). For Product Form Feature values see code list 98. Only for use in ONIX 3.0 or later
79,Product form feature type,Тип характеристики форми продукту,27,Color of foil (on cover),,"On cover or spine. For Product form feature values see metallic colors from code list 98. If further detail is required, also use Product form feature description. Only for use in ONIX 3.0 or later"
79,Product form feature type,Тип характеристики форми продукту,59,Color of foil (on jacket),,"On dustjacket. For Product Form Feature values see metallic colors from code list 98. If further detail is required, also use Product form feature description. Only for use in ONIX 3.0 or later"
79,Product form feature type,Тип характеристики форми продукту,02,Color of page edges,,"Sprayed / stained / gilded edges. For Product form feature values see code list 98. For patterned and illustrated page edges, also use Product form feature description or see List 158 code 54"
79,Product form feature type,Тип характеристики форми продукту,55,Color of endpapers,,"Or of inside front and back covers. For Product form feature values see Codelist 98. For patterned and illustrated endpapers, also use Product form feature description or see List 158 code 55. Only for use in ONIX 3.0 or later"
79,Product form feature type,Тип характеристики форми продукту,57,Color of ribbon marker(s),,"Use also for color of elasticated strap. For Product Form Feature Values see Codelist 98, and with multicolored or multiple ribbons, also use Product Form Feature Description. Only for use in ONIX 3.0 or later"
79,Product form feature type,Тип характеристики форми продукту,58,Color of head and tail bands,,"Capital bands. For Product form feature values see codelist 98, and with multicolored (eg striped) bands, also use Product form feature description. Only for use in ONIX 3.0 or later"
79,Product form feature type,Тип характеристики форми продукту,03,Text font,,"The principal font used for body text, when this is a significant aspect of product description, eg for some Bibles, and for large print product. The accompanying <ProductFormFeatureDescription> is text specifying the typeface name. The font size may be specified with the font name, but is preferred separately (in points) in <ProductFormFeatureValue>"
79,Product form feature type,Тип характеристики форми продукту,04,Special cover material,,For Product Form Feature values see code list 99
79,Product form feature type,Тип характеристики форми продукту,05,DVD region,,For Product Form Feature values see code list 76
79,Product form feature type,Тип характеристики форми продукту,06,Operating system requirements,,"A computer or handheld device operating system required to use a digital product, with version detail if applicable. The accompanying Product Form Feature Value is a code from List 176. Version detail, when applicable, is carried in Product Form Feature Description"
79,Product form feature type,Тип характеристики форми продукту,07,Other system requirements,,"Other system requirements for a digital product, described by free text in Product Form Feature Description"
79,Product form feature type,Тип характеристики форми продукту,08,‘Point and listen’ device compatibility,,"Indicates compatibility with proprietary ‘point and listen’ devices such as Ting Pen (http://www.ting.eu), the iSmart Touch and Read Pen. These devices scan invisible codes specially printed on the page to identify the book and position of the word, and the word is then read aloud by the device. The name of the compatible device (or range of devices) should be given in <ProductFormFeatureDescription>"
79,Product form feature type,Тип характеристики форми продукту,09,E-publication accessibility detail,,"For <ProductFormFeatureValue> codes, see Codelist 196"
79,Product form feature type,Тип характеристики форми продукту,10,E-publication format version,,"For versioned e-book file formats (or in some cases, devices). <ProductFormFeatureValue> should contain the version number as a period-separated list of numbers (eg ‘7’, ‘1.5’ or ‘3.10.7’). Only for use in ONIX 3.0 or later – in ONIX 2.1, use <EpubTypeVersion> instead. For the most common file formats, code 15 and List 220 is strongly preferred"
79,Product form feature type,Тип характеристики форми продукту,12,US CPSIA or other international hazard warning,,"Hazard warning required by US Consumer Product Safety Improvement Act (CPSIA) of 2008 or other US or international legislation. Required, when applicable, for products sold in the US. The Product Form Feature Value is a code from List 143. Further explanation may be given in Product Form Feature Description"
79,Product form feature type,Тип характеристики форми продукту,13,EU General Product Safety Regulation and Toy Safety Directive hazard warning,,"Product carries hazard warning, conformity notice or other text required by EU General Product Safety Regulation or Toy Safety Directive. The Product Form Feature Value is a code from List 184, and (for some codes) the exact wording of the warning or text may be given in Product Form Feature Description"
79,Product form feature type,Тип характеристики форми продукту,14,IATA Dangerous Goods warning,,Product Form Feature Description must give further details of the warning
79,Product form feature type,Тип характеристики форми продукту,15,E-publication format version code,,"For common versioned e-book formats (or in some cases, devices) – for example EPUB 2.0.1 or EPUB 3.0. <ProductFormFeatureValue> is a code from list 220. Only for use in ONIX 3.0 or later"
79,Product form feature type,Тип характеристики форми продукту,16,E-publication format validator version,,"For common versioned e-book formats, the name and version of the validator used to check conformance. <ProductFormFeatureDescription> is the common name of the validator used (eg EpubCheck, Flightdeck), and <ProductFormFeatureValue> is the version number of the validator (eg 4.0.0a). Use with code 15 (or possibly code 10), or with <EpubTypeVersion>, to specify the version the e-publication conforms with"
